accession	reason
SRR11744220	busco_completeness_below_0.5
SRR1177663	busco_completeness_below_0.5
SRR11829747	busco_completeness_below_0.5
SRR11853650	busco_completeness_below_0.5
SRR11862600	busco_completeness_below_0.5
SRR11862870	busco_completeness_below_0.5
SRR11947064	busco_completeness_below_0.5
SRR11947067	busco_completeness_below_0.5
SRR11947068	busco_completeness_below_0.5
SRR11947069	busco_completeness_below_0.5
SRR1199374	missing_busco_summary
SRR1199375	missing_busco_summary
SRR12007197	busco_completeness_below_0.5
SRR12007203	busco_completeness_below_0.5
SRR12009648	busco_completeness_below_0.5
SRR12009667	busco_completeness_below_0.5
SRR12014228	busco_completeness_below_0.5
SRR12034780	busco_completeness_below_0.5
SRR1206878	busco_completeness_below_0.5
SRR12149014	busco_completeness_below_0.5
SRR12486599	busco_completeness_below_0.5
SRR12513791	busco_completeness_below_0.5
SRR12516448	busco_completeness_below_0.5
SRR12542196	busco_completeness_below_0.5
SRR12578553	busco_completeness_below_0.5
SRR12660995	busco_completeness_below_0.5
SRR12682974	busco_completeness_below_0.5
SRR12698650	busco_completeness_below_0.5
SRR12698703	busco_completeness_below_0.5
SRR12832691	busco_completeness_below_0.5
SRR12887733	busco_completeness_below_0.5
SRR1298998	busco_completeness_below_0.5
SRR13240958	busco_completeness_below_0.5
SRR13338370	busco_completeness_below_0.5
SRR13338408	busco_completeness_below_0.5
SRR13338468	busco_completeness_below_0.5
SRR13338469	busco_completeness_below_0.5
SRR13338486	busco_completeness_below_0.5
SRR13338488	busco_completeness_below_0.5
SRR13338495	busco_completeness_below_0.5
SRR13338497	busco_completeness_below_0.5
SRR13338500	busco_completeness_below_0.5
SRR13338504	busco_completeness_below_0.5
SRR13338505	busco_completeness_below_0.5
SRR13338506	busco_completeness_below_0.5
SRR13338507	busco_completeness_below_0.5
SRR13338508	busco_completeness_below_0.5
SRR13338509	busco_completeness_below_0.5
SRR13338512	busco_completeness_below_0.5
SRR13338516	busco_completeness_below_0.5
SRR13338534	busco_completeness_below_0.5
SRR13338618	busco_completeness_below_0.5
SRR13449998	busco_completeness_below_0.5
SRR13528763	busco_completeness_below_0.5
SRR13528764	busco_completeness_below_0.5
SRR13760201	busco_completeness_below_0.5
SRR13761662	busco_completeness_below_0.5
SRR13767691	busco_completeness_below_0.5
SRR13767936	busco_completeness_below_0.5
SRR13773850	busco_completeness_below_0.5
SRR13782121	busco_completeness_below_0.5
SRR13836938	busco_completeness_below_0.5
SRR13842403	busco_completeness_below_0.5
SRR13856328	busco_completeness_below_0.5
SRR13912249	busco_completeness_below_0.5
SRR14085702	busco_completeness_below_0.5
SRR14144073	busco_completeness_below_0.5
