accession	reason
SRR7796293	busco_completeness_below_0.5
SRR7806558	busco_completeness_below_0.5
SRR7806559	busco_completeness_below_0.5
SRR7806561	busco_completeness_below_0.5
SRR7842027	busco_completeness_below_0.5
SRR7842030	busco_completeness_below_0.5
SRR7848077	busco_completeness_below_0.5
SRR7896533	busco_completeness_below_0.5
SRR7900215	busco_completeness_below_0.5
SRR7900860	busco_completeness_below_0.5
SRR7901036	busco_completeness_below_0.5
SRR8259246	busco_completeness_below_0.5
SRR8268746	busco_completeness_below_0.5
SRR8487543	busco_completeness_below_0.5
SRR8507959	busco_completeness_below_0.5
SRR8508029	busco_completeness_below_0.5
SRR8528205	busco_completeness_below_0.5
SRR8616815	busco_completeness_below_0.5
SRR867057	busco_completeness_below_0.5
SRR8674872	busco_completeness_below_0.5
SRR8674873	busco_completeness_below_0.5
SRR8674876	busco_completeness_below_0.5
SRR8674878	busco_completeness_below_0.5
SRR8674879	busco_completeness_below_0.5
SRR8704449	busco_completeness_below_0.5
SRR8728253	busco_completeness_below_0.5
SRR8750960	busco_completeness_below_0.5
SRR8863098	busco_completeness_below_0.5
SRR8936356	busco_completeness_below_0.5
SRR8944297	busco_completeness_below_0.5
SRR9004649	busco_completeness_below_0.5
SRR9016399	busco_completeness_below_0.5
SRR9039466	busco_completeness_below_0.5
SRR9083680	busco_completeness_below_0.5
SRR9087155	busco_completeness_below_0.5
SRR9095474	busco_completeness_below_0.5
SRR9275647	busco_completeness_below_0.5
SRR9681919	busco_completeness_below_0.5
SRR9733220	busco_completeness_below_0.5
SRR9850087	busco_completeness_below_0.5
SRR999296	busco_completeness_below_0.5
SRR32675151	suspected_species_misidentification
SRR32693765	suspected_species_misidentification
SRR9670021	suspected_species_misidentification
